instrument,sample,O,C,E,A,N
BFI-2,34,3.8333333333333335,3.8333333333333335,3.5833333333333335,4.25,2.25
BFI-2,35,4.5,4.416666666666667,3.75,4.75,1.75
BFI-2,36,4.25,4.333333333333333,3.6666666666666665,4.833333333333333,1.5
BFI-2,37,4.25,3.8333333333333335,3.8333333333333335,4.416666666666667,2.3333333333333335
BFI-2,38,3.6666666666666665,4.0,3.25,4.583333333333333,2.1666666666666665
BFI-2,39,4.083333333333333,4.083333333333333,3.5,4.916666666666667,1.9166666666666667
BFI-2,40,4.416666666666667,4.166666666666667,3.9166666666666665,4.833333333333333,1.9166666666666667
BFI-2,41,4.0,4.0,3.5833333333333335,4.833333333333333,2.0833333333333335
BFI-2,42,4.5,4.083333333333333,3.6666666666666665,4.666666666666667,1.3333333333333333
BFI-2,43,4.583333333333333,4.0,3.75,4.833333333333333,2.1666666666666665
BFI-2,44,4.166666666666667,3.8333333333333335,3.5833333333333335,4.75,2.25
BFI-2,45,3.9166666666666665,4.0,3.75,4.333333333333333,2.0833333333333335
BFI-2,46,3.8333333333333335,4.25,3.5833333333333335,4.416666666666667,1.5833333333333333
BFI-2,47,4.666666666666667,4.333333333333333,3.8333333333333335,4.833333333333333,1.6666666666666667
BFI-2,48,4.083333333333333,3.8333333333333335,3.5,4.333333333333333,2.25
BFI-2,49,3.5,3.9166666666666665,3.0833333333333335,4.166666666666667,2.5
BFI-2,50,4.25,4.083333333333333,3.4166666666666665,4.833333333333333,1.75
BFI-2,51,3.9166666666666665,3.9166666666666665,3.5833333333333335,5.0,1.9166666666666667
BFI-2,52,4.333333333333333,3.8333333333333335,3.6666666666666665,4.5,2.0
BFI-2,53,3.75,3.8333333333333335,3.6666666666666665,4.166666666666667,2.5833333333333335
BFI-2,54,3.9166666666666665,3.5,3.25,4.083333333333333,2.3333333333333335
BFI-2,55,4.166666666666667,4.0,3.5833333333333335,4.75,2.25
BFI-2,56,3.6666666666666665,3.25,3.1666666666666665,4.0,2.25
BFI-2,57,4.25,3.9166666666666665,3.6666666666666665,4.666666666666667,2.0833333333333335
BFI-2,58,4.5,3.6666666666666665,3.4166666666666665,4.5,1.9166666666666667
BFI-2,59,4.083333333333333,3.9166666666666665,3.1666666666666665,4.333333333333333,2.0833333333333335
Goldberg-100,0,4.25,4.3,3.05,4.55,2.2
Goldberg-100,1,4.0,4.0,3.0,4.2,2.3
Goldberg-100,2,3.85,4.1,3.3,4.2,2.1
Goldberg-100,3,3.85,3.95,2.7,4.45,2.45
Goldberg-100,4,4.3,4.45,3.1,4.7,2.0
Goldberg-100,5,4.05,3.9,2.35,4.05,2.5
Goldberg-100,6,3.85,3.95,3.15,3.95,2.45
Goldberg-100,7,4.05,2.7,3.1,4.25,2.15
Goldberg-100,8,3.9,4.25,3.75,4.0,2.3
Goldberg-100,9,4.2,4.35,2.75,4.25,2.7
Goldberg-100,10,4.2,4.15,2.75,4.2,2.9
Goldberg-100,11,3.95,4.25,4.0,4.4,1.7
Goldberg-100,12,4.15,4.3,3.5,4.1,1.95
Goldberg-100,13,3.8,4.15,3.75,4.2,2.05
Goldberg-100,14,3.55,3.8,3.35,4.2,2.75
Goldberg-100,15,4.1,4.55,4.05,4.5,1.85
Goldberg-100,16,3.8,4.1,3.05,4.3,2.2
Goldberg-100,17,4.0,4.4,3.45,4.25,2.0
Goldberg-100,18,4.85,4.35,3.95,4.7,1.75
Goldberg-100,19,4.0,4.25,3.8,4.1,2.1
Goldberg-100,20,4.1,3.9,3.8,4.35,1.85
Goldberg-100,21,4.05,4.05,2.65,4.3,2.2
Goldberg-100,22,3.95,4.1,3.3,4.7,1.6
Goldberg-100,23,4.0,4.0,3.35,4.05,2.15
Goldberg-100,24,3.45,3.9,3.6,4.05,2.35
Goldberg-100,25,3.6,3.9,3.45,4.05,2.35
Goldberg-100,26,4.2,4.25,4.15,4.8,1.75
Goldberg-100,27,3.85,3.95,3.9,4.2,2.45
Goldberg-100,28,3.7,3.9,2.7,4.0,3.1
Goldberg-100,29,4.1,3.9,2.85,4.3,2.45
Goldberg-100,30,3.6,4.05,2.65,4.4,2.35
Goldberg-100,31,4.0,3.65,3.75,4.25,2.45
Goldberg-100,32,4.3,4.55,3.45,4.8,1.85
Goldberg-100,33,3.5,3.45,3.4,3.85,2.35
Goldberg-100,34,4.15,4.55,4.2,4.65,1.95
Goldberg-100,35,3.65,3.95,3.7,3.95,2.4
Goldberg-100,36,3.8,4.4,3.65,4.45,1.8
Goldberg-100,37,3.55,3.9,3.4,4.3,2.4
Goldberg-100,38,3.8,3.75,2.8,4.2,2.35
Goldberg-100,39,3.5,4.5,3.0,4.4,2.0
Goldberg-100,40,4.3,4.55,3.1,4.55,1.75
Goldberg-100,41,2.75,3.2,2.6,3.2,3.1
Goldberg-100,42,3.4,3.45,3.2,3.75,3.1
Goldberg-100,43,3.5,3.7,2.7,3.9,2.55
Goldberg-100,44,4.0,3.8,3.85,4.5,1.65
Goldberg-100,45,4.25,4.15,2.85,4.4,2.2
Goldberg-100,46,3.8,3.9,2.9,4.0,2.4
Goldberg-100,47,4.5,3.0,2.5,4.5,3.7
Goldberg-100,48,3.85,3.95,3.25,4.05,2.9
Goldberg-100,49,5.0,5.0,5.0,5.0,1.0
Goldberg-100,50,4.2,4.1,3.85,4.35,1.7
Goldberg-100,51,2.65,2.5,2.3,4.0,2.85
Goldberg-100,52,3.95,4.0,3.6,4.25,2.55
Goldberg-100,53,3.5,3.8,3.0,3.95,2.45
Goldberg-100,54,3.65,3.75,2.6,4.0,2.95
Goldberg-100,55,3.8,4.4,3.85,4.35,1.95
Goldberg-100,56,3.25,3.6,2.75,3.75,2.55
Goldberg-100,57,4.15,4.45,4.3,4.7,1.7
Goldberg-100,58,3.4,3.65,2.65,3.7,2.45
Goldberg-100,59,3.85,3.95,3.25,4.25,2.05
FFPI,0,4.0,4.631578947368421,3.9473684210526314,4.578947368421052,2.0
FFPI,1,3.619047619047619,4.2631578947368425,3.5789473684210527,4.473684210526316,1.9545454545454546
FFPI,2,3.3333333333333335,3.3684210526315788,3.210526315789474,3.8947368421052633,2.6818181818181817
FFPI,3,3.9523809523809526,4.2631578947368425,3.8947368421052633,4.421052631578948,2.0454545454545454
FFPI,4,3.5714285714285716,4.105263157894737,3.473684210526316,4.2105263157894735,2.090909090909091
FFPI,5,4.095238095238095,4.315789473684211,3.8421052631578947,4.315789473684211,1.9545454545454546
FFPI,6,3.7142857142857144,3.8947368421052633,3.8947368421052633,4.315789473684211,2.272727272727273
FFPI,7,3.4285714285714284,4.052631578947368,3.8421052631578947,4.368421052631579,2.409090909090909
FFPI,8,3.5238095238095237,4.368421052631579,3.736842105263158,4.526315789473684,1.7727272727272727
FFPI,9,3.4761904761904763,3.8421052631578947,3.526315789473684,3.8421052631578947,2.4545454545454546
FFPI,10,3.619047619047619,4.157894736842105,3.8947368421052633,4.2105263157894735,1.9090909090909092
FFPI,11,3.4285714285714284,3.9473684210526314,3.6842105263157894,4.052631578947368,2.3181818181818183
FFPI,12,3.619047619047619,3.8947368421052633,3.736842105263158,4.368421052631579,2.272727272727273
FFPI,13,3.5238095238095237,3.526315789473684,3.6315789473684212,4.052631578947368,2.227272727272727
FFPI,14,3.4761904761904763,3.4210526315789473,3.4210526315789473,4.105263157894737,2.1363636363636362
FFPI,15,3.8095238095238093,3.9473684210526314,3.8421052631578947,4.473684210526316,2.227272727272727
FFPI,16,3.380952380952381,3.736842105263158,3.263157894736842,3.8947368421052633,2.272727272727273
FFPI,17,3.4761904761904763,3.789473684210526,3.8421052631578947,4.421052631578948,2.0
FFPI,18,4.0,4.2631578947368425,3.6315789473684212,4.421052631578948,2.272727272727273
FFPI,19,3.4285714285714284,4.105263157894737,3.736842105263158,4.2105263157894735,2.4545454545454546
FFPI,20,3.0476190476190474,3.4210526315789473,3.0,3.4210526315789473,2.8636363636363638
FFPI,21,3.380952380952381,4.2105263157894735,3.789473684210526,4.526315789473684,1.9545454545454546
FFPI,22,3.9047619047619047,4.2105263157894735,4.052631578947368,4.7894736842105265,1.9090909090909092
FFPI,23,3.7142857142857144,3.6315789473684212,3.5789473684210527,4.052631578947368,2.3636363636363638
FFPI,24,3.7142857142857144,4.0,4.0,4.2105263157894735,2.1363636363636362
FFPI,25,3.4761904761904763,3.789473684210526,3.5789473684210527,3.789473684210526,2.409090909090909
FFPI,26,3.3333333333333335,4.421052631578948,3.526315789473684,4.2105263157894735,2.6363636363636362
FFPI,27,3.3333333333333335,4.105263157894737,3.736842105263158,4.473684210526316,2.227272727272727
FFPI,28,4.0,4.2105263157894735,3.8947368421052633,4.315789473684211,2.227272727272727
FFPI,29,3.4761904761904763,4.052631578947368,3.6315789473684212,4.0,2.3181818181818183
FFPI,30,3.142857142857143,3.789473684210526,3.3684210526315788,3.6842105263157894,2.5454545454545454
FFPI,31,3.4761904761904763,3.6842105263157894,4.2105263157894735,4.526315789473684,1.8181818181818181
FFPI,32,3.9047619047619047,4.2105263157894735,3.789473684210526,4.684210526315789,2.0454545454545454
FFPI,33,3.4761904761904763,3.789473684210526,3.5789473684210527,3.8947368421052633,2.227272727272727
FFPI,34,3.380952380952381,3.9473684210526314,3.8421052631578947,4.473684210526316,2.1818181818181817
FFPI,35,3.3333333333333335,4.2631578947368425,3.789473684210526,4.421052631578948,2.090909090909091
FFPI,36,3.5238095238095237,4.315789473684211,4.052631578947368,4.421052631578948,1.9545454545454546
FFPI,37,3.380952380952381,3.8421052631578947,3.789473684210526,4.0,2.227272727272727
FFPI,38,3.6666666666666665,4.0,4.052631578947368,4.421052631578948,1.9545454545454546
FFPI,39,3.5238095238095237,4.052631578947368,3.736842105263158,4.157894736842105,2.0454545454545454
FFPI,40,3.4761904761904763,3.6842105263157894,3.3157894736842106,4.157894736842105,2.3636363636363638
FFPI,41,3.4761904761904763,4.052631578947368,3.8947368421052633,4.2105263157894735,2.0
FFPI,42,3.857142857142857,4.368421052631579,3.8421052631578947,4.315789473684211,1.9545454545454546
FFPI,43,3.3333333333333335,3.6842105263157894,3.789473684210526,3.736842105263158,2.3181818181818183
FFPI,44,3.3333333333333335,3.8947368421052633,3.1578947368421053,4.315789473684211,2.909090909090909
FFPI,45,3.4761904761904763,3.526315789473684,3.210526315789474,3.526315789473684,2.772727272727273
FFPI,46,3.3333333333333335,3.8947368421052633,3.6842105263157894,3.8947368421052633,2.090909090909091
FFPI,47,3.0,3.0,3.0,3.0,3.0
FFPI,48,3.4761904761904763,3.8421052631578947,4.0,4.2631578947368425,2.3636363636363638
FFPI,49,3.3333333333333335,3.6315789473684212,3.6315789473684212,4.052631578947368,2.272727272727273
FFPI,50,3.5714285714285716,3.9473684210526314,3.5789473684210527,4.526315789473684,1.7727272727272727
FFPI,51,3.3333333333333335,4.315789473684211,4.0,4.526315789473684,1.8181818181818181
FFPI,52,3.4761904761904763,3.8947368421052633,3.473684210526316,3.8421052631578947,2.3636363636363638
FFPI,53,3.5238095238095237,3.789473684210526,3.3684210526315788,3.9473684210526314,2.272727272727273
FFPI,54,3.4285714285714284,3.9473684210526314,3.6315789473684212,3.8947368421052633,2.1363636363636362
FFPI,55,3.619047619047619,4.052631578947368,3.9473684210526314,4.473684210526316,2.3181818181818183
FFPI,56,3.5714285714285716,3.5789473684210527,4.052631578947368,4.2105263157894735,2.227272727272727
FFPI,57,3.4285714285714284,4.052631578947368,3.473684210526316,4.052631578947368,2.0454545454545454
FFPI,58,3.5238095238095237,3.6842105263157894,3.5789473684210527,3.8421052631578947,2.6363636363636362
FFPI,59,3.380952380952381,3.526315789473684,3.3684210526315788,3.8947368421052633,2.5454545454545454
