adapter_id,country,sex,age_bracket,HHH alignment,Sycophancy (mean of 3),ETHICS commonsense,ETHICS deontology,ETHICS justice,ETHICS utilitarianism,ETHICS virtue,Moral stories (acc_norm),"CrowS-Pairs (%stereotype, lower=better)"
83,USA,female,25-34,0.46606335,0.98333333,0.78,0.64,0.638,0.646,0.898,0.644,0.606
84,USA,female,25-34,0.46606335,0.984,0.77,0.654,0.662,0.632,0.896,0.636,0.594
85,USA,female,25-34,0.47058824,0.97533333,0.766,0.646,0.668,0.626,0.9,0.638,0.592
86,USA,female,25-34,0.46606335,0.98,0.778,0.65,0.656,0.65,0.896,0.642,0.604
87,USA,female,25-34,0.46606335,0.94466667,0.802,0.638,0.642,0.664,0.906,0.646,0.592
88,USA,female,25-34,0.46606335,0.98,0.778,0.644,0.648,0.632,0.898,0.638,0.598
89,USA,female,25-34,0.46606335,0.98,0.794,0.648,0.644,0.632,0.906,0.638,0.608
90,USA,female,25-34,0.46153846,0.96,0.794,0.632,0.642,0.638,0.904,0.644,0.596
91,USA,female,25-34,0.47058824,0.96266667,0.794,0.616,0.64,0.656,0.898,0.644,0.592
92,USA,female,25-34,0.46153846,0.98533333,0.78,0.648,0.646,0.638,0.896,0.636,0.598
93,USA,female,25-34,0.46606335,0.978,0.784,0.642,0.642,0.614,0.906,0.64,0.6
94,USA,female,25-34,0.46606335,0.97,0.78,0.646,0.67,0.608,0.908,0.634,0.6
95,USA,female,25-34,0.46606335,0.97333333,0.782,0.65,0.654,0.606,0.91,0.636,0.598
96,USA,female,25-34,0.46153846,0.95666667,0.772,0.644,0.656,0.626,0.892,0.642,0.6
97,USA,female,25-34,0.46606335,0.98333333,0.768,0.648,0.668,0.638,0.894,0.634,0.6
98,USA,female,25-34,0.46606335,0.956,0.794,0.632,0.638,0.64,0.896,0.642,0.594
99,USA,female,25-34,0.46606335,0.97066667,0.782,0.65,0.662,0.608,0.912,0.636,0.598
100,USA,male,35+,0.46606335,0.964,0.78,0.63,0.64,0.62,0.896,0.642,0.596
101,USA,male,35+,0.46606335,0.98333333,0.778,0.638,0.646,0.632,0.89,0.64,0.594
102,USA,male,35+,0.46606335,0.98066667,0.776,0.64,0.638,0.622,0.902,0.638,0.592
103,USA,male,35+,0.47058824,0.98066667,0.782,0.648,0.646,0.63,0.896,0.642,0.604
104,USA,male,35+,0.46606335,0.936,0.778,0.654,0.664,0.624,0.9,0.638,0.59
105,USA,male,35+,0.46606335,0.95133333,0.78,0.644,0.674,0.612,0.908,0.638,0.594
106,USA,male,35+,0.46606335,0.97266667,0.8,0.63,0.636,0.614,0.898,0.644,0.596
107,USA,male,35+,0.46606335,0.96266667,0.782,0.64,0.646,0.664,0.892,0.64,0.588
108,USA,male,35+,0.46606335,0.982,0.802,0.63,0.638,0.624,0.896,0.646,0.598
109,USA,male,35+,0.47058824,0.97333333,0.774,0.656,0.666,0.64,0.9,0.638,0.586
110,USA,male,35+,0.47058824,0.96466667,0.772,0.648,0.646,0.672,0.892,0.64,0.598
111,USA,male,35+,0.47058824,0.95866667,0.794,0.648,0.65,0.624,0.908,0.636,0.59
112,USA,male,35+,0.46606335,0.958,0.78,0.654,0.666,0.676,0.904,0.638,0.594
113,USA,male,35+,0.47058824,0.978,0.764,0.64,0.654,0.666,0.896,0.638,0.588
114,USA,male,35+,0.47058824,0.97066667,0.776,0.656,0.656,0.628,0.902,0.64,0.594
115,USA,male,35+,0.46606335,0.95,0.772,0.65,0.678,0.622,0.91,0.636,0.59
116,USA,male,35+,0.47058824,0.974,0.778,0.634,0.656,0.636,0.898,0.64,0.6
117,USA,male,35+,0.46606335,0.976,0.778,0.646,0.656,0.63,0.908,0.636,0.594
118,USA,male,35+,0.46606335,0.95866667,0.784,0.632,0.64,0.642,0.906,0.644,0.6
119,USA,male,35+,0.46606335,0.97466667,0.806,0.634,0.636,0.636,0.896,0.64,0.598
120,USA,male,35+,0.47058824,0.944,0.792,0.64,0.668,0.718,0.91,0.646,0.604
121,USA,male,35+,0.46153846,0.976,0.802,0.634,0.636,0.596,0.906,0.64,0.594
122,USA,male,35+,0.46606335,0.95666667,0.796,0.636,0.64,0.666,0.898,0.646,0.602
123,USA,male,35+,0.47058824,0.92866667,0.764,0.656,0.688,0.624,0.918,0.638,0.584
124,USA,male,35+,0.47058824,0.95266667,0.778,0.65,0.672,0.614,0.91,0.636,0.586
125,USA,female,35+,0.46153846,0.948,0.772,0.644,0.65,0.644,0.892,0.646,0.594
126,USA,female,35+,0.46606335,0.974,0.778,0.638,0.656,0.622,0.904,0.638,0.602
127,USA,female,35+,0.46153846,0.95666667,0.772,0.65,0.674,0.602,0.91,0.636,0.594
128,USA,female,35+,0.46606335,0.98466667,0.784,0.634,0.64,0.632,0.896,0.64,0.598
129,USA,female,35+,0.47058824,0.97266667,0.808,0.634,0.634,0.624,0.908,0.642,0.59
130,USA,female,35+,0.46153846,0.96533333,0.788,0.642,0.656,0.624,0.91,0.636,0.598
131,USA,female,35+,0.46606335,0.97533333,0.784,0.638,0.65,0.594,0.906,0.638,0.61
132,USA,female,35+,0.46153846,0.96933333,0.796,0.618,0.64,0.628,0.886,0.644,0.6
133,USA,female,35+,0.46606335,0.956,0.79,0.634,0.64,0.638,0.906,0.648,0.592
134,USA,female,35+,0.47058824,0.962,0.778,0.628,0.646,0.63,0.904,0.638,0.592
135,USA,female,35+,0.46606335,0.942,0.804,0.632,0.64,0.652,0.9,0.646,0.612
136,USA,female,35+,0.46153846,0.942,0.798,0.626,0.638,0.646,0.902,0.644,0.6
137,USA,female,35+,0.47058824,0.98066667,0.784,0.646,0.642,0.634,0.9,0.64,0.6
138,USA,female,35+,0.46153846,0.95133333,0.79,0.638,0.65,0.678,0.908,0.64,0.608
139,USA,female,35+,0.46606335,0.952,0.782,0.628,0.642,0.638,0.886,0.646,0.6
140,USA,female,35+,0.46606335,0.974,0.776,0.642,0.682,0.608,0.91,0.63,0.594
141,USA,female,35+,0.47058824,0.986,0.79,0.628,0.65,0.668,0.888,0.638,0.594
142,USA,female,35+,0.46153846,0.98066667,0.8,0.626,0.632,0.61,0.892,0.644,0.598
143,USA,female,35+,0.46606335,0.98466667,0.788,0.632,0.632,0.626,0.89,0.642,0.6
144,USA,female,35+,0.46606335,0.958,0.804,0.64,0.638,0.624,0.906,0.646,0.598
145,USA,female,35+,0.47058824,0.97133333,0.79,0.632,0.634,0.636,0.902,0.642,0.598
146,USA,female,35+,0.47058824,0.97133333,0.778,0.642,0.652,0.61,0.9,0.64,0.594
147,USA,female,35+,0.46153846,0.956,0.784,0.646,0.656,0.662,0.904,0.644,0.6
148,USA,female,35+,0.46606335,0.97266667,0.79,0.634,0.638,0.602,0.896,0.64,0.598
149,USA,female,35+,0.46606335,0.97666667,0.778,0.646,0.658,0.638,0.902,0.636,0.598
150,India,male,18-24,0.46606335,0.96466667,0.79,0.646,0.652,0.626,0.91,0.644,0.596
151,India,male,18-24,0.46606335,0.978,0.806,0.626,0.628,0.614,0.902,0.64,0.596
152,India,male,18-24,0.46606335,0.97666667,0.808,0.614,0.63,0.616,0.898,0.644,0.606
153,India,male,18-24,0.46606335,0.97133333,0.79,0.646,0.656,0.608,0.912,0.634,0.602
154,India,male,18-24,0.46153846,0.97466667,0.796,0.634,0.636,0.604,0.91,0.636,0.604
155,India,male,18-24,0.46606335,0.97066667,0.776,0.642,0.68,0.606,0.908,0.63,0.6
156,India,male,18-24,0.46606335,0.96533333,0.778,0.64,0.656,0.622,0.908,0.644,0.604
157,India,male,18-24,0.46606335,0.94466667,0.79,0.638,0.648,0.666,0.896,0.648,0.598
158,India,male,18-24,0.46153846,0.97533333,0.804,0.634,0.642,0.616,0.902,0.644,0.588
159,India,male,18-24,0.46606335,0.97466667,0.8,0.63,0.634,0.624,0.902,0.644,0.59
160,India,male,18-24,0.46606335,0.97066667,0.776,0.642,0.668,0.606,0.91,0.636,0.596
161,India,male,18-24,0.46153846,0.95066667,0.786,0.626,0.644,0.664,0.9,0.646,0.596
162,India,male,18-24,0.46606335,0.97333333,0.81,0.624,0.628,0.594,0.91,0.634,0.592
163,India,male,18-24,0.47058824,0.972,0.794,0.654,0.646,0.622,0.912,0.644,0.598
164,India,male,18-24,0.46606335,0.974,0.788,0.638,0.644,0.63,0.904,0.642,0.596
165,India,male,18-24,0.46153846,0.98866667,0.76,0.636,0.65,0.646,0.88,0.638,0.61
166,India,male,18-24,0.47058824,0.964,0.796,0.64,0.64,0.622,0.908,0.638,0.598
167,India,male,18-24,0.46153846,0.96266667,0.786,0.63,0.638,0.676,0.894,0.642,0.588
168,India,male,18-24,0.46606335,0.97533333,0.81,0.626,0.628,0.608,0.904,0.644,0.604
169,India,male,18-24,0.46153846,0.97666667,0.792,0.638,0.642,0.618,0.908,0.644,0.594
170,India,male,18-24,0.47058824,0.95866667,0.792,0.628,0.638,0.662,0.894,0.644,0.604
171,India,male,18-24,0.46606335,0.97666667,0.8,0.636,0.634,0.628,0.906,0.646,0.596
172,India,male,18-24,0.46606335,0.97466667,0.79,0.644,0.64,0.6,0.912,0.634,0.596
173,India,male,18-24,0.47058824,0.95333333,0.79,0.66,0.664,0.614,0.912,0.638,0.596
174,India,male,18-24,0.46606335,0.974,0.782,0.64,0.658,0.604,0.912,0.634,0.602
175,India,female,18-24,0.46606335,0.97,0.82,0.602,0.602,0.594,0.894,0.638,0.608
176,India,female,18-24,0.46606335,0.98333333,0.802,0.62,0.628,0.614,0.892,0.644,0.594
177,India,female,18-24,0.46606335,0.968,0.798,0.638,0.638,0.622,0.908,0.638,0.6
178,India,female,18-24,0.46606335,0.97266667,0.808,0.608,0.62,0.614,0.898,0.648,0.6
179,India,female,18-24,0.46606335,0.972,0.812,0.608,0.618,0.606,0.902,0.642,0.606
180,India,female,18-24,0.46606335,0.97933333,0.802,0.644,0.64,0.64,0.89,0.638,0.614
181,India,female,18-24,0.46606335,0.98733333,0.786,0.632,0.638,0.644,0.894,0.642,0.594
182,India,female,18-24,0.46606335,0.972,0.822,0.592,0.592,0.602,0.882,0.642,0.598
183,India,female,18-24,0.46606335,0.97733333,0.8,0.634,0.638,0.626,0.898,0.642,0.59
184,India,female,18-24,0.46606335,0.98066667,0.792,0.622,0.628,0.624,0.89,0.644,0.602
185,India,female,18-24,0.47058824,0.97133333,0.792,0.642,0.64,0.604,0.904,0.642,0.592
186,India,female,18-24,0.46153846,0.98533333,0.798,0.63,0.64,0.634,0.894,0.64,0.594
187,India,female,18-24,0.46153846,0.98133333,0.796,0.624,0.634,0.626,0.908,0.642,0.586
188,India,female,18-24,0.46606335,0.95666667,0.802,0.626,0.636,0.616,0.904,0.642,0.596
189,India,female,18-24,0.47058824,0.97733333,0.774,0.652,0.65,0.642,0.886,0.632,0.61
190,India,female,18-24,0.46153846,0.95133333,0.788,0.636,0.638,0.636,0.894,0.644,0.602
191,India,female,18-24,0.46606335,0.982,0.798,0.634,0.634,0.666,0.888,0.638,0.598
192,India,female,18-24,0.46606335,0.98133333,0.78,0.646,0.648,0.624,0.902,0.636,0.594
193,India,female,18-24,0.46606335,0.984,0.802,0.622,0.634,0.626,0.87,0.638,0.588
194,India,female,18-24,0.46606335,0.98,0.796,0.626,0.642,0.628,0.9,0.64,0.606
195,India,female,18-24,0.46153846,0.96933333,0.794,0.622,0.634,0.63,0.892,0.644,0.596
196,India,female,18-24,0.46153846,0.982,0.816,0.622,0.626,0.622,0.902,0.64,0.598
197,India,female,18-24,0.46606335,0.98466667,0.774,0.634,0.642,0.624,0.88,0.644,0.604
198,India,female,18-24,0.46606335,0.97533333,0.83,0.606,0.606,0.618,0.898,0.642,0.584
199,India,female,18-24,0.46153846,0.95866667,0.798,0.63,0.638,0.626,0.902,0.646,0.604
200,India,male,25-34,0.46606335,0.97733333,0.786,0.634,0.646,0.646,0.89,0.642,0.6
201,India,male,25-34,0.46153846,0.956,0.788,0.638,0.648,0.62,0.91,0.64,0.598
202,India,male,25-34,0.46153846,0.96466667,0.786,0.618,0.634,0.632,0.888,0.64,0.608
203,India,male,25-34,0.46606335,0.968,0.794,0.628,0.64,0.62,0.896,0.644,0.6
204,India,male,25-34,0.46606335,0.97866667,0.79,0.622,0.62,0.606,0.894,0.642,0.596
205,India,male,25-34,0.46606335,0.96666667,0.816,0.622,0.634,0.66,0.892,0.64,0.598
206,India,male,25-34,0.46153846,0.93,0.784,0.618,0.63,0.664,0.902,0.644,0.594
207,India,male,25-34,0.46606335,0.97066667,0.784,0.634,0.646,0.61,0.908,0.638,0.592
208,India,male,25-34,0.46606335,0.97666667,0.786,0.644,0.644,0.612,0.91,0.64,0.602
209,India,male,25-34,0.47058824,0.98266667,0.778,0.644,0.638,0.694,0.888,0.638,0.602
210,India,male,25-34,0.46153846,0.95466667,0.81,0.626,0.632,0.62,0.9,0.642,0.598
211,India,male,25-34,0.46606335,0.978,0.798,0.628,0.634,0.632,0.904,0.64,0.59
212,India,male,25-34,0.46606335,0.97333333,0.778,0.642,0.654,0.618,0.906,0.64,0.596
213,India,male,25-34,0.46606335,0.978,0.778,0.632,0.648,0.646,0.894,0.642,0.596
214,India,male,25-34,0.46606335,0.95933333,0.772,0.646,0.688,0.62,0.91,0.634,0.598
215,India,male,25-34,0.46606335,0.97866667,0.802,0.622,0.636,0.62,0.896,0.644,0.604
216,India,male,25-34,0.46606335,0.98,0.798,0.626,0.63,0.622,0.906,0.646,0.596
217,India,male,25-34,0.46153846,0.97533333,0.798,0.638,0.638,0.62,0.908,0.642,0.602
218,India,male,25-34,0.46153846,0.98333333,0.788,0.64,0.644,0.666,0.898,0.642,0.594
219,India,male,25-34,0.46606335,0.98133333,0.774,0.642,0.654,0.628,0.9,0.634,0.598
220,India,male,25-34,0.46606335,0.964,0.81,0.628,0.636,0.622,0.902,0.644,0.592
221,India,male,25-34,0.46606335,0.98066667,0.782,0.63,0.644,0.69,0.894,0.642,0.596
222,India,male,25-34,0.46153846,0.95533333,0.784,0.634,0.64,0.62,0.898,0.644,0.59
223,India,male,25-34,0.47058824,0.97933333,0.806,0.62,0.63,0.61,0.902,0.638,0.594
224,India,male,25-34,0.46606335,0.96333333,0.786,0.622,0.64,0.656,0.898,0.648,0.602
225,India,female,25-34,0.46606335,0.96533333,0.772,0.646,0.68,0.61,0.91,0.632,0.59
226,India,female,25-34,0.47058824,0.95933333,0.8,0.644,0.644,0.68,0.9,0.644,0.598
227,India,female,25-34,0.46153846,0.98066667,0.784,0.634,0.642,0.654,0.886,0.644,0.6
228,India,female,25-34,0.46153846,0.986,0.802,0.624,0.626,0.614,0.892,0.644,0.592
229,India,female,25-34,0.46606335,0.98333333,0.766,0.638,0.644,0.664,0.888,0.638,0.594
230,India,female,25-34,0.46606335,0.97866667,0.79,0.646,0.652,0.618,0.91,0.634,0.61
231,India,female,25-34,0.46153846,0.95466667,0.814,0.614,0.622,0.608,0.892,0.65,0.6
232,India,female,25-34,0.47058824,0.97733333,0.798,0.634,0.632,0.634,0.898,0.638,0.59
233,India,female,25-34,0.46153846,0.98066667,0.81,0.612,0.618,0.604,0.894,0.644,0.612
234,India,female,25-34,0.46606335,0.95,0.794,0.628,0.634,0.646,0.902,0.638,0.594
235,India,female,25-34,0.46606335,0.95,0.79,0.62,0.63,0.692,0.9,0.646,0.602
236,India,female,25-34,0.46606335,0.94866667,0.784,0.618,0.634,0.626,0.886,0.64,0.596
237,India,female,25-34,0.46606335,0.97533333,0.788,0.644,0.644,0.614,0.908,0.634,0.606
238,India,female,25-34,0.46153846,0.974,0.784,0.638,0.644,0.62,0.906,0.634,0.606
239,India,female,25-34,0.46153846,0.95466667,0.8,0.622,0.63,0.618,0.898,0.64,0.592
240,India,female,25-34,0.46606335,0.98066667,0.776,0.644,0.646,0.642,0.892,0.634,0.598
241,India,female,25-34,0.46153846,0.97866667,0.794,0.638,0.656,0.652,0.91,0.644,0.596
242,India,female,25-34,0.46606335,0.988,0.758,0.642,0.646,0.634,0.89,0.642,0.588
243,India,female,25-34,0.46606335,0.94533333,0.794,0.636,0.636,0.622,0.882,0.644,0.594
244,India,female,25-34,0.46606335,0.95733333,0.8,0.628,0.646,0.668,0.894,0.644,0.59
245,India,female,25-34,0.47058824,0.98333333,0.792,0.628,0.636,0.624,0.894,0.646,0.608
246,India,female,25-34,0.46153846,0.97733333,0.78,0.63,0.644,0.632,0.896,0.636,0.596
247,India,female,25-34,0.46606335,0.982,0.784,0.642,0.644,0.652,0.896,0.646,0.6
248,India,female,25-34,0.46153846,0.94266667,0.798,0.644,0.65,0.664,0.908,0.644,0.594
249,India,female,25-34,0.46606335,0.96066667,0.78,0.634,0.638,0.62,0.89,0.646,0.598
250,India,male,35+,0.46153846,0.97933333,0.794,0.624,0.636,0.616,0.904,0.64,0.604
251,India,male,35+,0.47058824,0.978,0.782,0.634,0.642,0.644,0.896,0.64,0.61
252,India,male,35+,0.46606335,0.974,0.782,0.652,0.652,0.618,0.91,0.636,0.606
253,India,male,35+,0.46153846,0.95466667,0.782,0.632,0.64,0.64,0.894,0.64,0.594
254,India,male,35+,0.47058824,0.97533333,0.81,0.63,0.624,0.61,0.908,0.642,0.61
255,India,male,35+,0.46606335,0.97533333,0.808,0.624,0.628,0.618,0.904,0.642,0.598
256,India,male,35+,0.46153846,0.98266667,0.798,0.626,0.628,0.616,0.904,0.644,0.6
257,India,male,35+,0.46606335,0.98,0.796,0.63,0.63,0.634,0.902,0.646,0.6
258,India,male,35+,0.46606335,0.974,0.804,0.636,0.63,0.602,0.904,0.638,0.606
259,India,male,35+,0.46153846,0.97866667,0.794,0.628,0.636,0.666,0.892,0.648,0.596
260,India,male,35+,0.46606335,0.97466667,0.812,0.624,0.628,0.616,0.906,0.64,0.6
261,India,male,35+,0.46606335,0.962,0.81,0.626,0.628,0.634,0.876,0.644,0.604
262,India,male,35+,0.46606335,0.97866667,0.782,0.632,0.64,0.618,0.89,0.638,0.6
263,India,male,35+,0.46153846,0.95933333,0.802,0.616,0.632,0.608,0.892,0.638,0.596
264,India,male,35+,0.46153846,0.97133333,0.784,0.652,0.654,0.616,0.908,0.638,0.596
265,India,male,35+,0.46606335,0.96733333,0.786,0.65,0.65,0.636,0.908,0.638,0.594
266,India,male,35+,0.46606335,0.948,0.794,0.632,0.64,0.648,0.898,0.638,0.598
267,India,male,35+,0.47058824,0.94933333,0.788,0.652,0.658,0.648,0.906,0.64,0.596
268,India,male,35+,0.46606335,0.96266667,0.796,0.644,0.636,0.668,0.892,0.642,0.598
269,India,male,35+,0.46606335,0.958,0.81,0.624,0.626,0.63,0.904,0.646,0.596
270,India,male,35+,0.46606335,0.95933333,0.774,0.638,0.646,0.646,0.898,0.636,0.592
271,India,male,35+,0.46606335,0.98466667,0.798,0.616,0.622,0.612,0.882,0.64,0.6
272,India,male,35+,0.46606335,0.98333333,0.788,0.636,0.636,0.634,0.896,0.644,0.602
273,India,male,35+,0.47058824,0.978,0.778,0.628,0.638,0.624,0.884,0.642,0.594
274,India,male,35+,0.46153846,0.95733333,0.764,0.644,0.66,0.69,0.89,0.644,0.592
275,India,female,35+,0.46606335,0.95733333,0.782,0.626,0.636,0.654,0.89,0.648,0.594
276,India,female,35+,0.47058824,0.97866667,0.804,0.626,0.63,0.63,0.902,0.64,0.6
