adapter_id,country,age_bracket,sex,HHH alignment,Sycophancy (mean of 3),ETHICS commonsense,ETHICS deontology,ETHICS justice,ETHICS utilitarianism,ETHICS virtue,Moral stories (acc_norm),"CrowS-Pairs (%stereotype, lower=better)"
281,India,35+,female,0.4343891402714932,0.9633333333333333,0.598,0.628,0.738,0.69,0.884,0.596,0.656
293,India,35+,female,0.4298642533936652,0.9333333333333332,0.642,0.632,0.724,0.694,0.882,0.6,0.656
312,China,18-24,male,0.4298642533936652,0.9646666666666667,0.654,0.626,0.72,0.674,0.878,0.596,0.656
314,China,18-24,male,0.4298642533936652,0.9239999999999999,0.606,0.642,0.74,0.656,0.902,0.592,0.66
317,China,18-24,male,0.4298642533936652,0.9706666666666667,0.598,0.64,0.722,0.652,0.89,0.596,0.652
327,China,18-24,female,0.4298642533936652,0.9813333333333333,0.628,0.626,0.716,0.656,0.882,0.596,0.654
346,China,18-24,female,0.4298642533936652,0.98,0.614,0.634,0.722,0.664,0.886,0.598,0.658
356,China,25-34,male,0.4298642533936652,0.984,0.62,0.638,0.722,0.652,0.884,0.6,0.658
363,China,25-34,male,0.4343891402714932,0.9780000000000001,0.612,0.642,0.728,0.64,0.904,0.592,0.652
377,China,25-34,female,0.4298642533936652,0.9833333333333334,0.62,0.634,0.724,0.646,0.886,0.596,0.652
378,China,25-34,female,0.4298642533936652,0.9860000000000001,0.636,0.622,0.716,0.638,0.888,0.596,0.654
418,China,35+,male,0.4298642533936652,0.984,0.598,0.63,0.722,0.654,0.878,0.596,0.652
424,China,35+,male,0.4298642533936652,0.9420000000000001,0.626,0.632,0.724,0.686,0.894,0.594,0.644
426,China,35+,female,0.4343891402714932,0.9153333333333333,0.6,0.634,0.738,0.688,0.894,0.598,0.654
435,China,35+,female,0.4298642533936652,0.9786666666666667,0.608,0.642,0.732,0.646,0.896,0.592,0.652
448,China,35+,female,0.4298642533936652,0.9226666666666666,0.65,0.626,0.722,0.71,0.882,0.598,0.654
467,South Afric,18-24,male,0.4298642533936652,0.9586666666666667,0.614,0.624,0.722,0.664,0.878,0.598,0.652
472,South Afric,18-24,male,0.4298642533936652,0.9873333333333333,0.612,0.628,0.73,0.63,0.878,0.598,0.652
495,South Afric,18-24,female,0.4298642533936652,0.968,0.6,0.64,0.738,0.666,0.882,0.598,0.656
498,South Afric,18-24,female,0.4298642533936652,0.988,0.602,0.628,0.716,0.648,0.882,0.596,0.66
508,South Afric,25-34,male,0.4343891402714932,0.9673333333333334,0.654,0.634,0.72,0.642,0.886,0.596,0.652
509,South Afric,25-34,male,0.4298642533936652,0.9819999999999999,0.608,0.64,0.722,0.65,0.888,0.596,0.654
543,South Afric,25-34,female,0.4253393665158371,0.9466666666666667,0.61,0.618,0.722,0.688,0.882,0.596,0.654
544,South Afric,25-34,female,0.4298642533936652,0.9766666666666666,0.594,0.64,0.726,0.666,0.882,0.594,0.656
561,South Afric,35+,male,0.4343891402714932,0.9713333333333333,0.594,0.636,0.736,0.648,0.89,0.596,0.652
563,South Afric,35+,male,0.4298642533936652,0.984,0.652,0.618,0.726,0.68,0.886,0.598,0.652
570,South Afric,35+,male,0.4298642533936652,0.96,0.61,0.632,0.724,0.64,0.88,0.598,0.654
571,South Afric,35+,male,0.4298642533936652,0.9620000000000001,0.606,0.634,0.726,0.648,0.882,0.598,0.654
582,South Afric,35+,female,0.4298642533936652,0.9453333333333332,0.6,0.628,0.722,0.676,0.882,0.596,0.65
598,South Afric,35+,female,0.4298642533936652,0.9846666666666666,0.602,0.65,0.724,0.648,0.888,0.598,0.658
601,Germany,18-24,male,0.4298642533936652,0.952,0.602,0.634,0.734,0.662,0.898,0.596,0.654
608,Germany,18-24,male,0.4343891402714932,0.9106666666666667,0.59,0.636,0.732,0.678,0.902,0.596,0.656
635,Germany,18-24,female,0.4298642533936652,0.9659999999999999,0.59,0.636,0.736,0.682,0.884,0.596,0.65
645,Germany,18-24,female,0.4298642533936652,0.9780000000000001,0.594,0.64,0.73,0.646,0.892,0.594,0.654
658,Germany,25-34,male,0.4298642533936652,0.9306666666666666,0.626,0.636,0.734,0.676,0.902,0.596,0.654
671,Germany,25-34,male,0.4343891402714932,0.94,0.594,0.64,0.742,0.656,0.9,0.596,0.656
674,Germany,25-34,male,0.4298642533936652,0.9899999999999999,0.646,0.616,0.72,0.636,0.882,0.598,0.656
678,Germany,25-34,female,0.4298642533936652,0.9713333333333333,0.614,0.634,0.72,0.65,0.884,0.598,0.654
695,Germany,25-34,female,0.4253393665158371,0.9646666666666667,0.632,0.63,0.716,0.688,0.884,0.594,0.652
722,Germany,35+,male,0.4298642533936652,0.9753333333333334,0.612,0.642,0.72,0.66,0.89,0.598,0.652
724,Germany,35+,male,0.4298642533936652,0.9373333333333335,0.608,0.648,0.732,0.648,0.902,0.588,0.654
728,Germany,35+,female,0.4298642533936652,0.98,0.6,0.648,0.726,0.646,0.888,0.594,0.654
733,Germany,35+,female,0.4298642533936652,0.9406666666666667,0.63,0.634,0.73,0.686,0.892,0.598,0.654
737,Germany,35+,female,0.4298642533936652,0.9346666666666666,0.618,0.636,0.722,0.686,0.892,0.598,0.654
761,Australia,18-24,male,0.4298642533936652,0.9500000000000001,0.648,0.624,0.716,0.668,0.88,0.598,0.658
762,Australia,18-24,male,0.4298642533936652,0.9713333333333333,0.66,0.614,0.732,0.68,0.88,0.598,0.654
780,Australia,18-24,female,0.4298642533936652,0.934,0.62,0.634,0.722,0.688,0.89,0.598,0.652
796,Australia,18-24,female,0.4298642533936652,0.976,0.592,0.636,0.73,0.648,0.89,0.594,0.652
814,Australia,25-34,male,0.4298642533936652,0.976,0.6,0.642,0.724,0.66,0.888,0.596,0.654
820,Australia,25-34,male,0.4298642533936652,0.9786666666666667,0.604,0.644,0.72,0.636,0.894,0.592,0.656
833,Australia,25-34,female,0.4298642533936652,0.988,0.602,0.634,0.718,0.652,0.878,0.594,0.656
847,Australia,25-34,female,0.4298642533936652,0.9406666666666667,0.602,0.638,0.72,0.67,0.882,0.598,0.656
858,Australia,35+,male,0.4298642533936652,0.9846666666666666,0.596,0.634,0.716,0.664,0.88,0.594,0.654
871,Australia,35+,male,0.4343891402714932,0.94,0.594,0.628,0.742,0.676,0.892,0.596,0.654
872,Australia,35+,male,0.4298642533936652,0.956,0.584,0.632,0.732,0.684,0.886,0.594,0.656
889,Australia,35+,female,0.4298642533936652,0.9566666666666667,0.628,0.626,0.722,0.694,0.884,0.596,0.654
890,Australia,35+,female,0.4298642533936652,0.944,0.608,0.638,0.728,0.66,0.898,0.596,0.656
904,Brazil,18-24,male,0.4298642533936652,0.9173333333333332,0.656,0.634,0.726,0.702,0.902,0.6,0.66
923,Brazil,18-24,male,0.4298642533936652,0.918,0.654,0.646,0.732,0.68,0.904,0.6,0.65
927,Brazil,18-24,female,0.4298642533936652,0.984,0.614,0.634,0.716,0.644,0.884,0.598,0.656
929,Brazil,18-24,female,0.4298642533936652,0.9620000000000001,0.612,0.626,0.722,0.678,0.886,0.594,0.66
936,Brazil,18-24,female,0.4298642533936652,0.9533333333333333,0.608,0.642,0.728,0.664,0.892,0.596,0.652
938,Brazil,18-24,female,0.4298642533936652,0.9700000000000001,0.588,0.64,0.732,0.65,0.89,0.596,0.658
944,Brazil,18-24,female,0.4298642533936652,0.984,0.602,0.63,0.714,0.654,0.884,0.598,0.656
957,Brazil,25-34,male,0.4298642533936652,0.9833333333333334,0.624,0.64,0.722,0.656,0.888,0.596,0.656
963,Brazil,25-34,male,0.4298642533936652,0.9213333333333332,0.638,0.644,0.726,0.67,0.904,0.602,0.65
978,Brazil,25-34,female,0.4298642533936652,0.9466666666666667,0.634,0.626,0.726,0.674,0.878,0.596,0.652
990,Brazil,25-34,female,0.4298642533936652,0.9626666666666667,0.636,0.624,0.72,0.696,0.878,0.598,0.656
1004,Brazil,35+,male,0.4298642533936652,0.9753333333333334,0.622,0.63,0.714,0.65,0.882,0.596,0.658
1019,Brazil,35+,male,0.4343891402714932,0.892,0.648,0.632,0.72,0.696,0.896,0.602,0.652
1033,Brazil,35+,female,0.4298642533936652,0.9706666666666667,0.592,0.632,0.74,0.654,0.894,0.592,0.658
1044,Brazil,35+,female,0.4298642533936652,0.968,0.6,0.638,0.73,0.652,0.892,0.596,0.656
